Entity,Majors
MAJ,Geography
MAJ,History
MAJ,International Relations & Affairs
MAJ,Political Science
MAJ,"Psychology, Clinical & Counseling"
MAJ,Psychology
MAJ,Sociology
MAJ,Urban Studies/Urban Affairs
MAJ,Computer Science 
MAJ,BS/RN
MAJ,Electronics Engineering Technologies
MAJ,Data Science
MAJ,Pharmaceutical Sciences
MAJ,Biological Sciences
MAJ,Information Technology
MAJ,Biostatistics
MAJ,Epidemiology
MAJ,Public Policy Analysis
MAJ,Public Policy
MAJ,Microeconomics
MAJ,Econ
MAJ,Biophysics
MAJ,International Business Strategy
MAJ,Industrial and Systems Engineering
MAJ,Computer and Information Science and Engineering 
MAJ,Food Science
MAJ,information Management Systems
MAJ,Electronics
